INDEX,LOAD,WIND,SOLAR,RESIDUAL,SOC
1,43.126,73.933,0,-30.807,30.807
2,41.347,74.403,0,-33.056,63.863
3,39.491,74.846,0,-35.355,99.218
4,43.22,74.976,0,-31.756,130.974
5,48.505,74.894,0,-26.389,157.363
6,50.44,73.747,0,-23.307,180.67
7,51.623,72.931,0.499,-21.807,202.477
8,52.399,71.349,3.186,-22.136,224.613
9,53.419,69.958,5.988,-22.527,247.14
10,53.575,69.532,7.687,-23.644,270.784
11,52.755,69.78,7.421,-24.446,295.23
12,52.335,70.242,5.486,-23.393,318.623
13,52.46,69.292,2.824,-19.656,338.279
14,56.428,68.173,0.634,-12.379,350.658
15,59.549,67.477,0,-7.928,358.586
16,61.234,67.97,0,-6.736,365.322
17,59.959,68.728,0,-8.769,374.091
18,58.527,69.044,0,-10.517,384.608
19,55.839,69.391,0,-13.552,398.16
20,51.839,71.188,0,-19.349,417.509
21,48.349,71.084,0,-22.735,440.244
22,48.627,70.749,0,-22.122,462.366
23,47.116,70.137,0,-23.021,485.387
24,44.944,70.17,0,-25.226,510.613
25,43.686,69.516,0,-25.83,536.443
26,41.907,68.751,0,-26.844,563.287
27,40.041,68.575,0,-28.534,591.821
28,43.767,68.621,0,-24.854,616.675
29,49.047,68.455,0,-19.408,636.083
30,50.983,67.982,0,-16.999,653.082
31,52.168,68.148,0.434,-16.414,669.496
32,52.947,68.182,2.625,-17.86,687.356
33,53.965,66.697,5.103,-17.835,705.191
34,54.124,64.501,6.394,-16.771,721.962
35,53.304,62.705,6.531,-15.932,737.894
36,52.884,60.865,5.663,-13.644,751.538
37,53.007,57.645,3.48,-8.118,759.656
38,56.974,55.139,0.96,0.875,758.781
39,60.094,51.047,0,9.047,749.734
40,61.783,47.805,0,13.978,735.756
41,60.51,43.348,0,17.162,718.594
42,59.078,40.031,0,19.047,699.547
43,56.393,38.005,0,18.388,681.159
44,52.402,36.692,0,15.71,665.449
45,48.914,36.935,0,11.979,653.47
46,45.619,39.163,0,6.456,647.014
47,44.065,45,0,-0.935,647.949
48,41.846,53.082,0,-11.236,659.185
49,40.515,57.471,0,-16.956,676.141
50,38.69,61.831,0,-23.141,699.282
51,36.649,65.404,0,-28.755,728.037
52,40.142,68.509,0,-28.367,756.404
53,45.346,71.038,0,-25.692,782.096
54,47.313,73.382,0,-26.069,808.165
55,48.61,74.794,0.205,-26.389,834.554
56,49.473,76.051,1.112,-27.69,862.244
